category,precision,recall,f1-score,support,accuracy
CherryTomatoes,0.4153846153846154,0.7105263157894737,0.5242718446601942,38.0,0.7105263157894737
Mangosteen,0.7777777777777778,0.8,0.7887323943661971,35.0,0.8
MomordicaCharantia,0.5490196078431373,0.8,0.6511627906976745,35.0,0.8
NavelOrange,0.5135135135135135,0.5135135135135135,0.5135135135135135,37.0,0.5135135135135135
Sandsugaroranges,0.5272727272727272,0.8285714285714286,0.6444444444444444,35.0,0.8285714285714286
apple,0.8387096774193549,0.7428571428571429,0.787878787878788,35.0,0.7428571428571429
banana,0.6666666666666666,0.1111111111111111,0.1904761904761905,36.0,0.1111111111111111
carrot,0.7307692307692307,0.5277777777777778,0.6129032258064515,36.0,0.5277777777777778
cherries,0.6785714285714286,0.59375,0.6333333333333334,32.0,0.59375
cucumber,0.5365853658536586,0.6285714285714286,0.5789473684210527,35.0,0.6285714285714286
durian,0.9444444444444444,0.4722222222222222,0.6296296296296297,36.0,0.4722222222222222
grape,0.8648648648648649,0.8421052631578947,0.8533333333333334,38.0,0.8421052631578947
hamimelon,0.6470588235294118,0.5945945945945946,0.619718309859155,37.0,0.5945945945945946
kiwi,0.8,0.43243243243243246,0.5614035087719298,37.0,0.43243243243243246
lemon,0.5106382978723404,0.8275862068965517,0.631578947368421,29.0,0.8275862068965517
lichee,0.782608695652174,0.47368421052631576,0.5901639344262294,38.0,0.47368421052631576
longan,0.7714285714285715,0.7105263157894737,0.7397260273972601,38.0,0.7105263157894737
mango,0.45454545454545453,0.6060606060606061,0.5194805194805195,33.0,0.6060606060606061
pear,0.4032258064516129,0.6756756756756757,0.5050505050505051,37.0,0.6756756756756757
pineapple,0.7428571428571429,0.7027027027027027,0.7222222222222223,37.0,0.7027027027027027
pitaya,0.7906976744186046,0.9444444444444444,0.8607594936708861,36.0,0.9444444444444444
pomegranate,0.5294117647058824,0.7297297297297297,0.6136363636363636,37.0,0.7297297297297297
strawberry,0.8181818181818182,0.47368421052631576,0.6,38.0,0.47368421052631576
tomato,0.6296296296296297,0.4722222222222222,0.5396825396825397,36.0,0.4722222222222222
watermelon,0.7916666666666666,0.5135135135135135,0.6229508196721311,37.0,0.5135135135135135
macro avg,0.6686212106528292,0.6291145227474629,0.6214000019119585,898.0,0.6291145227474629
weighted avg,0.6710579121571264,0.6269487750556793,0.6214582337794662,898.0,0.6269487750556793
